Geography,Gender,Age,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Germany,Male,44,137452.09,1,0,189543.9,0
France,Male,34,0,1,1,180427.24,0
France,Female,43,125851.93,1,1,193318.33,0
Spain,Male,52,0,1,0,159123.82,1
France,Female,31,40915.55,1,0,126213.84,1
Spain,Female,21,113157.22,1,1,54141.5,0
Spain,Female,29,138296.94,1,0,141075.51,0
France,Male,37,106967.18,0,0,24495.03,0
France,Male,44,120681.63,1,0,74836.34,0
France,Male,32,0,0,1,878.87,0
Spain,Female,32,0,1,0,89520.75,0
France,Female,48,0,1,0,149892.79,1
Spain,Male,42,0,1,0,180800.42,0
France,Male,37,127609.59,1,0,98646.22,0
France,Female,43,0,1,1,109041.53,0
Spain,Male,57,0,1,0,17941.16,1
France,Female,33,0,0,0,82996.47,0
Spain,Female,28,0,1,1,92067.35,0
France,Female,73,97259.25,0,1,104719.66,0
Germany,Female,33,123246.7,0,0,112687.57,0
Spain,Female,22,101060.25,0,1,84699.56,0
France,Male,30,0,1,0,83473.82,0
France,Female,49,108007.36,0,0,47125.11,0
Spain,Female,36,0,1,1,106977.8,0
Spain,Male,29,133702.89,1,0,55582.54,1
Germany,Male,31,125189.75,1,1,139874.43,0
Germany,Female,24,113034.22,1,0,162503.48,1
Spain,Female,41,109013.23,1,0,196499.96,0
Spain,Female,39,0,1,0,40721.24,1
Germany,Male,24,57929.81,0,0,53134.3,0
France,Female,29,130114.39,1,0,164017.89,0
Germany,Male,27,95826.49,1,0,155996.96,0
Germany,Male,44,129608.57,1,0,5472.7,1
France,Male,30,169462.09,1,0,112187.11,0
France,Male,40,0,1,1,146457.83,0
Spain,Female,35,133868.21,1,1,27286.1,0
France,Female,30,0,1,1,130553.47,0
Germany,Male,36,190479.48,0,0,179351.89,0
Spain,Female,40,101993.12,0,1,94774.12,0
Germany,Female,55,161608.81,1,0,8080.85,1
Spain,Female,45,122311.21,1,1,19482.5,0
France,Male,65,0,1,1,48071.61,0
Germany,Female,45,162150.42,1,0,174531.27,0
France,Male,42,0,1,1,55470.78,0
France,Female,50,0,1,1,8546.87,1
France,Male,32,0,1,0,95857.18,0
France,Female,39,99010.67,1,0,194945.8,0
Spain,Female,37,0,0,1,131521.72,0
Spain,Male,30,0,0,1,196108.51,0
Germany,Female,34,111388.18,1,0,148564.76,0
France,Female,41,56214.85,0,0,92982.61,1
France,Female,36,84327.77,1,0,17675.36,0
France,Male,40,0,0,0,114996.43,0
France,Male,32,93012.89,1,0,86957.42,0
Spain,Male,29,61710.44,1,0,128077.8,0
France,Male,35,174790.15,1,1,600.36,0
Spain,Female,32,0,1,1,43001.46,0
Germany,Male,37,107720.64,1,1,158591.12,0
France,Male,57,0,1,1,47847.19,0
France,Male,35,96423.84,1,0,10488.44,0
Spain,Male,30,141040.01,1,1,5978.2,0
France,Male,42,105420.18,0,1,121409.06,0
Spain,Male,50,0,0,1,146145.93,1
France,Female,38,129022.06,1,1,14374.86,1
Spain,Male,33,176666.62,1,0,94670.77,0
France,Male,37,0,1,1,179670.31,0
Spain,Female,41,89763.84,0,0,199304.74,1
France,Male,34,134954.53,1,1,151954.39,0
France,Male,45,0,1,0,142513.5,1
France,Male,45,106376.85,0,1,158264.62,0
Germany,Male,33,161814.64,1,0,169381.9,0
France,Male,31,0,1,1,169915.02,0
France,Female,41,0,0,0,88852.47,0
France,Female,34,63095.01,1,1,40645.81,0
Germany,Male,26,118287.01,0,0,60427.3,0
Germany,Male,47,106854.21,0,1,157959.02,1
France,Male,46,49512.55,1,0,133007.34,0
Spain,Female,33,0,0,0,176576.62,0
France,Male,43,105799.32,1,0,34888.04,1
France,Male,54,0,1,1,28737.71,1
France,Female,31,114722.05,1,1,98178.57,0
Spain,Male,30,0,0,1,125010.24,0
France,Male,42,0,1,1,167984.61,0
France,Male,33,0,1,0,4861.72,1
Germany,Male,45,99564.22,1,1,108872.45,1
France,Male,37,170557.91,1,0,198252.88,0
France,Female,30,0,1,1,26960.31,0
Germany,Female,39,74596.15,1,1,85746.52,1
Germany,Male,50,96888.39,1,0,77206.25,1
Germany,Female,29,130830.22,1,0,61048.53,0
France,Male,72,0,0,1,111981.19,0
France,Male,40,0,1,0,62232.6,0
France,Female,37,0,0,1,156105.03,0
Germany,Male,20,119714.25,0,1,150135.38,0
France,Female,67,113978.97,0,1,93146.11,0
Germany,Male,42,100160.75,1,0,33462.94,1
France,Female,29,0,1,1,144375,0
Germany,Female,43,116220.5,1,0,55803.96,1
France,Female,46,0,1,0,89048.46,1
France,Male,28,81173.83,0,1,162812.16,0
Spain,Male,38,0,1,0,136259.65,0
Germany,Female,39,116803.8,1,0,124052.97,0
France,Male,37,105961.68,0,1,74158.8,0
Germany,Male,67,117411.6,1,1,45071.09,1
Spain,Male,34,0,1,0,62030.06,0
France,Female,40,123497.58,1,0,131953.23,1
Germany,Male,26,152400.51,1,0,79414,0
France,Female,26,0,1,1,199638.56,0
Germany,Male,24,103097.85,1,1,157577.29,0
Germany,Male,54,126418.14,1,0,134420.75,1
Germany,Female,36,77846.9,0,0,99805.99,0
Spain,Female,34,0,1,1,97932.68,0
France,Female,79,0,0,1,170968.99,0
Germany,Male,37,79731.91,1,1,57558.95,0
Spain,Male,28,0,0,0,176713.47,0
Spain,Male,41,0,0,1,34283.23,0
France,Male,34,0,1,1,198637.34,0
Germany,Female,34,37266.67,0,0,156917.12,0
France,Female,30,127992.25,1,1,50457.2,0
Germany,Male,38,54901.01,1,1,140075.55,0
Germany,Male,42,108748.08,1,1,65323.11,0
Spain,Female,48,99906.19,1,0,64323.24,0
France,Female,32,184686.41,1,0,14956.44,0
France,Female,26,110654.02,0,1,111879.21,0
Spain,Male,31,79019.8,1,1,18606.23,0
Spain,Female,36,99240.51,1,0,123137.01,0
France,Male,34,0,1,1,148528.24,0
France,Male,36,0,1,0,13898.31,0
Spain,Female,39,0,0,0,81259.25,1
Germany,Female,35,52436.2,1,0,161051.75,0
Spain,Male,41,0,0,1,191599.67,0
Germany,Male,34,100337.96,1,0,48559.19,1
Germany,Female,34,149297.19,1,1,186339.74,0
France,Male,30,0,1,0,33159.37,0
Germany,Male,28,145605.44,0,1,93883.53,0
Spain,Female,37,0,1,1,110899.3,0
France,Male,62,0,1,1,11199.04,1
France,Female,53,0,1,0,189992.97,0
France,Male,35,84026.86,0,1,164255.69,0
France,Male,46,0,1,0,152167.79,1
France,Male,39,0,1,1,33949.67,0
Spain,Male,29,0,1,1,68143.93,0
Germany,Male,35,138718.92,1,1,47251.79,1
France,Male,42,118274.71,1,1,25885.72,0
France,Female,22,174185.98,0,1,192633.85,0
France,Male,40,113208.86,1,0,34577.36,0
Spain,Male,29,103907.28,1,0,161229.84,0
France,Female,32,119023.28,1,0,100816.29,0
Spain,Female,26,166297.89,1,1,181694.44,0
Spain,Male,34,0,1,0,79078.91,0
Germany,Male,42,63227,0,1,137316.32,0
Spain,Female,41,94521.17,1,0,194926.86,0
France,Male,27,0,1,0,51285.49,0
Spain,Female,34,112822.26,0,0,150401.53,1
France,Male,38,0,1,1,112491.96,0
France,Male,25,135903.33,1,0,73656.38,0
France,Female,31,125169.26,1,1,106636.89,0
Spain,Female,44,0,1,0,155853.52,1
France,Male,58,149117.31,1,1,162599.51,0
France,Male,33,0,1,1,103737.82,0
France,Female,31,0,1,0,160990.27,0
Spain,Female,36,132311.71,0,0,15462.84,0
France,Male,35,0,1,0,10334.05,0
France,Female,33,0,1,1,190686.16,0
France,Male,33,118082.89,0,0,94440.45,0
France,Male,31,119266.69,1,1,28257.63,0
France,Male,43,0,1,1,170034.95,1
Germany,Male,35,156847.29,1,0,31824.29,0
France,Male,50,137104.47,1,0,127166.49,1
Germany,Male,31,78398.69,1,0,44937.01,0
France,Female,80,0,1,1,188603.07,0
Germany,Male,30,63669.42,1,0,145111.37,0
France,Male,38,0,0,0,171463.83,0
Germany,Female,59,135296.33,1,0,182822.5,0
Spain,Male,36,153804.44,1,1,87213.33,0
Spain,Male,37,0,0,0,57175.32,0
France,Male,49,147069.78,1,0,120540.83,1
Spain,Male,42,0,1,1,28714.34,0
Spain,Female,22,0,1,0,85426.28,0
France,Male,24,95741.75,1,0,46170.75,0
Spain,Female,57,145965.33,1,1,64448.36,0
France,Female,30,141441.75,1,1,16278.97,0
France,Male,40,139290.41,1,0,182855.42,1
France,Female,31,0,0,0,50404.72,0
France,Male,30,0,1,0,107640.25,0
France,Male,35,144428.87,1,0,134132.65,0
France,Male,35,0,1,0,103480.69,0
France,Female,46,95441.27,1,0,108761.05,1
Germany,Male,35,144848.74,1,1,179012.3,0
Germany,Male,26,116244.14,1,1,95145.14,0
France,Male,50,0,0,1,72143.44,0
Spain,Female,40,146502.07,1,0,19162.89,0
Germany,Male,44,117028.6,0,1,144680.18,0
Germany,Female,30,112013.81,1,0,177772.03,1
Spain,Female,37,108269.37,1,0,5597.94,0
France,Male,29,182123.79,1,0,116828.51,1
Germany,Female,32,150923.74,0,1,174652.51,0
France,Male,33,0,1,0,2010.98,0
Spain,Female,39,165272.13,1,0,14109.85,1
Germany,Female,39,115301.31,1,0,43527.4,1
Germany,Female,40,129502.49,0,1,86099.23,1
France,Male,31,118342.26,0,0,161574.19,0
Spain,Female,47,0,1,1,38970.14,0
France,Male,22,0,0,0,127587.22,0
France,Female,25,0,1,0,30380.12,0
France,Female,43,0,1,0,90908.95,0
Germany,Female,34,106937.05,1,0,138275.01,0
Germany,Male,59,170331.37,1,1,32171.79,0
Germany,Female,32,114510.85,1,1,126143.23,0
France,Male,39,0,1,1,129892.93,0
Spain,Male,32,107594.11,1,1,102416.84,0
Spain,Male,39,81273.13,1,1,18719.67,0
Spain,Female,32,169399.6,1,0,61936.22,0
Spain,Male,25,0,1,1,78358.94,0
France,Female,45,187841.99,1,1,147224.27,0
France,Male,30,0,1,0,160979.66,0
Spain,Female,57,126776.3,1,1,132298.49,0
Spain,Male,34,126436.29,1,0,174248.52,1
France,Male,41,101960.74,1,1,123547.28,0
France,Male,58,0,0,1,32790.02,0
Spain,Male,28,0,0,1,181543.67,0
Germany,Female,45,150842.93,0,1,2319.96,1
France,Female,50,102535.57,1,1,189543.19,0
Germany,Female,29,99027.61,1,0,10940.4,0
France,Male,68,0,1,1,199493.38,0
Spain,Female,33,0,1,1,188193.25,0
Germany,Female,42,87271.41,1,0,172572.64,0
Germany,Female,35,102742.91,1,1,189339.6,0
Germany,Male,34,40105.51,0,1,53512.16,0
France,Female,29,152265.43,1,0,34004.44,0
Spain,Male,42,141947.67,1,1,10598.29,0
Germany,Female,75,106307.91,0,1,113428.77,0
Germany,Male,31,107884.81,1,1,183487.98,0
Germany,Male,31,125013.72,1,1,187658.09,0
Germany,Male,35,58469.37,1,1,172459.39,0
France,Female,39,0,0,1,21016,0
Germany,Male,45,117231.63,1,1,122381.02,1
Spain,Male,35,152390.26,1,0,128123.66,0
Spain,Female,30,34013.63,1,0,19570.63,0
Spain,Female,39,0,0,0,188150.6,1
France,Female,50,0,1,1,111020.24,0
France,Male,36,101583.11,1,0,123775.15,0
Germany,Female,30,77168.87,0,1,146700.22,0
Germany,Male,28,124695.72,1,0,145251.35,0
Germany,Male,44,105934.96,1,0,82463.69,0
France,Female,66,0,1,1,15928.49,0
Spain,Male,46,0,1,0,45886.33,0
Spain,Male,62,0,1,1,186489.95,0
Spain,Female,45,0,0,1,162922.65,0
France,Female,21,161525.96,1,0,9262.77,0
Germany,Female,29,147199.07,1,1,84932.4,0
Germany,Male,38,183102.29,1,1,71557.12,0
Spain,Male,46,127209,1,0,77405.95,1
Spain,Male,38,0,0,0,417.41,1
Spain,Female,24,97378.54,1,1,71405.17,0
Germany,Female,37,136925.09,0,1,153400.24,0
France,Male,33,54503.55,1,1,371.05,0
Germany,Male,32,155726.85,1,0,67789.99,0
France,Female,39,0,0,1,145894.9,0
France,Female,66,135842.41,1,0,183840.51,1
France,Male,52,63349.75,1,0,108887.44,0
Germany,Female,38,129499.42,1,1,154071.27,0
Spain,Male,52,0,0,1,179291.85,0
Spain,Male,36,70438.01,0,1,56937.43,0
France,Male,23,0,1,1,112239.03,0
France,Male,36,0,1,0,45909.87,0
Spain,Female,49,141434.04,0,0,173779.25,1
Spain,Female,37,0,1,0,125696.26,0
Germany,Male,37,152958.29,1,1,159585.61,0
Germany,Female,41,138306.34,1,0,106761.47,0
Spain,Male,23,0,0,0,129590.18,0
France,Male,38,0,1,1,80006.65,0
Spain,Female,31,124328.84,1,1,140451.52,0
Germany,Female,41,181461.48,1,1,187929.43,1
Spain,Male,35,0,1,0,167155.36,0
Spain,Male,26,0,0,0,191420.71,0
Germany,Female,61,110368.03,0,0,11384.45,1
France,Female,39,89588.35,1,1,94898.1,0
France,Female,46,0,0,0,106781.59,0
France,Female,28,0,0,0,159508.52,0
Germany,Female,60,115924.89,1,0,93524.19,1
France,Female,38,0,1,0,87168.46,0
Germany,Male,40,111756.5,1,0,8128.32,1
France,Female,35,0,1,0,125518.32,0
France,Male,39,0,1,0,48963.59,0
France,Male,26,162923.85,1,0,98368.24,0
Germany,Male,39,124576.65,1,0,148584.61,0
France,Male,45,80793.58,1,1,27474.81,0
Germany,Female,40,71340.09,1,0,76192.21,0
Germany,Male,40,99282.63,0,0,134600.94,1
Germany,Male,57,137946.39,1,1,72467.99,1
Germany,Male,41,127892.57,0,1,199645.45,0
Germany,Female,33,101084.36,1,0,42749.85,0
Germany,Female,37,114754.08,1,0,136050.44,1
France,Male,33,0,0,0,73564.44,0
France,Female,51,99286.98,0,1,85578.63,0
Germany,Female,30,79871.02,1,0,129826.89,0
France,Male,35,104088.59,0,0,119666,0
France,Female,38,168190.33,1,0,68052.08,0
Germany,Female,42,85679.25,1,1,164104.74,0
France,Female,35,0,0,0,80190.36,0
France,Female,31,0,1,0,84126.75,0
France,Female,34,121551.58,1,1,70179,0
France,Male,46,122220.19,1,1,118024.1,0
Spain,Male,47,116528.15,0,0,145704.19,1
France,Female,26,77780.29,0,1,183049.41,0
France,Male,37,0,0,0,120906.83,0
France,Male,40,125832.2,1,1,100433.83,0
France,Female,38,68065.8,0,0,138777,1
Spain,Female,47,127299.34,1,0,124694.99,0
Germany,Female,38,174937.64,1,0,40084.32,0
France,Male,40,0,0,1,119232.33,0
Spain,Male,31,110071.1,0,0,43921.36,0
Spain,Female,44,139432.37,1,0,62222.81,0
France,Female,39,127357.76,0,1,56577,0
France,Male,36,0,1,0,164253.35,0
France,Male,33,0,1,1,7666.73,0
France,Male,38,0,1,0,68487.51,0
Germany,Male,43,95556.31,0,1,199273.98,1
Spain,Male,37,0,1,1,186062.36,0
Germany,Male,29,111681.98,1,1,195711.16,0
France,Male,39,0,1,0,36692.17,0
Spain,Female,25,108738.71,1,0,106920.57,0
France,Female,32,133950.37,1,1,48725.68,1
Spain,Male,26,0,1,1,167036.94,0
France,Male,33,89968.69,1,0,68777.26,0
Spain,Female,32,0,1,1,18924.92,0
Germany,Female,38,130878.75,1,0,71905.77,1
France,Male,35,0,1,0,64833.28,0
France,Male,35,0,1,1,184843.77,0
Spain,Male,27,134169.62,1,1,176730.02,0
France,Male,37,149762.08,1,0,20629.4,1
France,Male,26,93844.69,1,0,28415.36,0
France,Male,28,0,1,0,77231.27,0
France,Female,33,0,1,0,102750.7,0
Germany,Male,46,141078.37,0,0,34580.8,1
Germany,Female,31,117992.59,1,1,183598.77,0
France,Female,40,100812.33,1,0,147358.27,0
France,Male,38,0,1,1,108469.2,0
France,Male,29,80262.6,1,1,20612.82,0
Spain,Male,34,156478.62,0,1,181196.76,0
France,Female,23,0,1,0,160249.1,0
France,Male,37,0,0,0,110783.28,0
Germany,Male,37,115217.99,1,0,144995.33,0
Spain,Male,61,0,1,0,150227.85,1
France,Female,35,155470.55,1,1,53718.28,0
France,Male,37,0,1,0,75248.3,0
France,Male,39,135096.77,1,1,14353.43,1
France,Male,30,0,0,1,130486.57,0
Germany,Female,55,180075.22,1,1,100127.71,0
Spain,Male,29,97541.24,1,1,196356.17,0
France,Female,41,156067.05,1,1,9983.88,0
France,Female,38,81550.94,0,1,118974.77,0
France,Female,47,0,0,0,194998.34,1
France,Female,38,170061.92,0,0,134901.34,1
Germany,Male,36,92310.54,1,1,72924.56,0
France,Female,32,169089.38,1,0,101057.95,0
France,Male,40,80613.93,1,1,142838.64,0
Germany,Male,26,121581.56,1,1,127059.04,0
France,Female,58,0,0,1,116503.92,1
Spain,Male,32,0,1,1,54405.79,0
France,Male,54,0,1,1,88721.84,0
France,Male,60,85891.55,1,0,74135.48,1
Spain,Male,44,77637.35,1,1,111346.22,0
Spain,Female,41,0,0,0,194902.16,0
France,Male,31,0,1,0,31474.27,0
Germany,Male,30,116927.89,1,0,21198.39,0
Germany,Female,40,137326.65,1,0,186976.6,0
France,Male,22,0,1,1,117202.19,0
Spain,Female,37,0,1,1,143739.29,0
Germany,Female,31,67238.98,1,1,161811.23,0
Germany,Female,38,86569.76,1,0,98090.91,0
Spain,Male,34,0,0,0,71095.41,0
France,Male,34,133598.4,1,1,13107.24,0
France,Female,51,136188.78,1,1,67110.59,1
Spain,Male,38,0,1,0,88225.02,0
France,Female,56,0,0,1,62256.87,1
Germany,Male,37,120092.52,1,0,135925.72,0
France,Male,48,101238.24,0,1,177815.87,1
France,Male,58,89685.92,0,1,126471.13,0
France,Female,35,211774.31,1,0,188574.12,1
France,Male,56,131317.48,1,1,119175.45,0
Spain,Male,37,93722.73,1,1,139093.73,0
Germany,Male,32,101160.99,1,1,115916.55,0
France,Male,48,120320.54,0,0,96463.25,0
France,Female,31,0,1,1,112349.51,0
France,Male,43,0,1,1,165303.79,0
France,Male,26,0,1,0,166031.08,0
Germany,Female,48,152827.99,1,0,38411.79,1
France,Male,30,64097.75,1,1,77783.35,0
Spain,Female,57,119035.35,1,1,29871.79,0
Spain,Female,26,135219.57,0,1,59747.63,0
France,Male,32,93694.42,1,1,79919.13,0
Spain,Male,35,59408.63,1,0,76773.53,0
France,Female,40,114354.95,1,0,54018.93,0
France,Male,59,0,1,0,70649.64,1
Germany,Male,35,128173.9,1,0,59093.39,0
Spain,Male,34,0,1,0,127569.8,0
Germany,Female,62,114931.35,0,1,18260.98,1
Germany,Female,28,111071.36,1,0,73275.96,1
France,Male,37,151226.18,1,1,136129.49,0
France,Male,26,0,1,1,153237.59,0
France,Female,42,64740.12,1,1,106841.12,0
Spain,Male,51,169312.13,1,0,109078.35,1
France,Female,49,0,0,1,87822.14,1
Spain,Female,44,112652.08,1,0,126644.98,0
France,Male,38,0,1,0,47414.15,0
Germany,Female,30,143964.36,1,0,41879.99,0
France,Male,49,122451.46,1,1,75808.1,0
France,Male,24,0,1,1,47911.03,0
Germany,Female,36,65253.07,1,0,28737.78,0
Germany,Male,47,106901.94,1,1,2079.2,1
Spain,Female,25,128509.63,1,0,121562.33,0
France,Male,34,0,1,0,55003.79,0
Germany,Male,33,129834.67,1,0,193131.42,0
Spain,Female,51,154962.99,0,1,191932.27,1
Germany,Male,40,138241.9,1,0,159418.1,0
Germany,Male,41,91536.93,1,0,191468.78,1
Spain,Male,53,0,1,1,38913.68,0
Spain,Female,70,0,1,1,705.18,0
Germany,Female,29,105204.01,0,1,138490.03,0
Spain,Male,61,152968.73,0,1,82970.69,0
Spain,Male,36,158261.68,1,1,76744.72,0
France,Female,46,0,1,0,71244.59,1
Spain,Female,38,121021.05,1,1,12182.15,0
France,Male,36,0,1,1,141210.5,0
Spain,Female,54,0,0,0,191763.07,1
Spain,Female,63,137715.66,1,1,37938.74,0
Germany,Male,31,121192.22,1,1,74890.58,0
France,Male,31,0,1,1,166698.18,0
France,Male,44,100486.18,1,1,62678.53,0
France,Male,45,0,1,0,67740.08,1
France,Male,35,92566.53,1,0,161519.77,0
Spain,Female,49,0,1,1,159835.78,1
Spain,Male,40,110929.96,1,1,30876.84,0
France,Female,27,0,1,1,14858.1,0
Spain,Female,32,138901.61,1,0,75685.97,0
France,Male,30,123217.66,0,1,144183.1,0
France,Female,41,0,1,0,65170.66,0
France,Male,39,0,1,1,82526.92,0
Spain,Male,36,0,1,0,169161.46,0
Spain,Female,33,108431.87,0,1,109291.39,1
Spain,Female,57,0,0,1,6057.81,0
Germany,Female,30,72392.41,1,0,77077.14,0
Germany,Female,51,119741.77,0,0,54954.51,1
France,Female,51,100946.71,0,0,179614.8,1
Spain,Male,53,170491.84,1,0,35588.07,1
France,Male,44,0,1,1,117356.14,0
France,Male,36,0,1,0,160696.72,0
Spain,Female,47,157296.02,0,0,147278.43,1
Germany,Female,38,144606.22,1,1,56594.36,1
France,Male,38,134811.3,1,0,1299.75,0
France,Female,34,115897.12,1,1,25095.03,0
Spain,Male,32,82034,0,0,146326.45,0
Spain,Female,26,174318.13,0,1,38296.21,0
Germany,Female,41,114206.84,1,0,164061.6,0
Spain,Male,43,0,1,0,107811.28,0
Germany,Male,39,111574.41,1,1,30838.51,0
Germany,Female,57,162448.69,0,0,9221.78,1
Germany,Female,34,148249.54,0,1,33738.27,0
France,Female,43,0,0,1,110916.15,1
Spain,Female,26,123709.46,1,1,169654.57,0
France,Female,72,0,0,1,69829.4,0
France,Male,30,0,1,0,54926.51,1
France,Male,37,150525.8,1,1,94728.49,0
France,Male,29,0,1,1,80393.27,0
France,Male,53,0,0,1,111307.98,0
